t=2025-12-15T11:28:15+0300 lvl=info msg="no configuration paths supplied"
t=2025-12-15T11:28:15+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Halil\\AppData\\Local/ngrok/ngrok.yml
t=2025-12-15T11:28:15+0300 lvl=info msg="open config file" path=C:\\Users\\Halil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-12-15T11:28:15+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-15T11:28:16+0300 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-15T11:28:16+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-15T11:28:16+0300 lvl=info msg="update available" obj=updater
t=2025-12-15T11:28:16+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:80 url=https://147e5f80e508.ngrok-free.app
t=2025-12-15T11:30:11+0300 lvl=info msg="join connections" obj=join id=35a750b9eef8 l=[::1]:80 r=164.90.160.171:43536
t=2025-12-15T11:30:15+0300 lvl=info msg="join connections" obj=join id=c8c69c56380f l=[::1]:80 r=164.90.160.171:43544
t=2025-12-15T11:30:16+0300 lvl=info msg="join connections" obj=join id=0e87e32f6f5b l=[::1]:80 r=164.90.160.171:37458
t=2025-12-15T11:30:21+0300 lvl=info msg="join connections" obj=join id=5b69503c5569 l=[::1]:80 r=164.90.160.171:35174
t=2025-12-15T11:52:12+0300 lvl=info msg="join connections" obj=join id=9bdadd71bdcb l=[::1]:80 r=164.90.160.171:39556
t=2025-12-15T11:52:17+0300 lvl=info msg="join connections" obj=join id=f897bf75864e l=[::1]:80 r=164.90.160.171:39564
t=2025-12-15T11:52:18+0300 lvl=info msg="join connections" obj=join id=d7ccdc0d8ef8 l=[::1]:80 r=164.90.160.171:50002
t=2025-12-15T13:07:36+0300 lvl=info msg="join connections" obj=join id=4f74a4aae145 l=[::1]:80 r=164.90.160.171:42852
t=2025-12-15T13:08:12+0300 lvl=info msg="join connections" obj=join id=459a127eb4a3 l=[::1]:80 r=164.90.160.171:35622
t=2025-12-15T13:08:13+0300 lvl=info msg="join connections" obj=join id=8acfd942826c l=[::1]:80 r=164.90.160.171:44624
t=2025-12-15T13:09:31+0300 lvl=info msg="join connections" obj=join id=a6e8ef50de02 l=[::1]:80 r=164.90.160.171:53834
t=2025-12-15T13:09:34+0300 lvl=info msg="join connections" obj=join id=d95cf6d175ab l=[::1]:80 r=164.90.160.171:53838
t=2025-12-15T13:10:02+0300 lvl=info msg="join connections" obj=join id=07f12828a398 l=[::1]:80 r=164.90.160.171:37422
t=2025-12-15T13:10:09+0300 lvl=info msg="join connections" obj=join id=30e67746c706 l=[::1]:80 r=164.90.160.171:37426
t=2025-12-15T13:10:10+0300 lvl=info msg="join connections" obj=join id=3607ff431378 l=[::1]:80 r=164.90.160.171:56412
t=2025-12-15T13:12:56+0300 lvl=info msg="join connections" obj=join id=4b400df2cccc l=[::1]:80 r=164.90.160.171:43692
t=2025-12-15T13:13:06+0300 lvl=info msg="join connections" obj=join id=9250a7e59adb l=[::1]:80 r=164.90.160.171:42290
t=2025-12-15T13:13:07+0300 lvl=info msg="join connections" obj=join id=f276aacd3e5f l=[::1]:80 r=164.90.160.171:39490
t=2025-12-15T13:16:48+0300 lvl=info msg="join connections" obj=join id=56f782c29c07 l=[::1]:80 r=164.90.160.171:32864
t=2025-12-15T13:16:58+0300 lvl=info msg="join connections" obj=join id=0e3be4ba3735 l=[::1]:80 r=164.90.160.171:33084
t=2025-12-15T13:16:59+0300 lvl=info msg="join connections" obj=join id=9791474001e0 l=[::1]:80 r=164.90.160.171:44190
t=2025-12-15T13:18:48+0300 lvl=info msg="join connections" obj=join id=a23d702a709f l=[::1]:80 r=164.90.160.171:38682
t=2025-12-15T13:18:56+0300 lvl=info msg="join connections" obj=join id=2c86c2c10c01 l=[::1]:80 r=164.90.160.171:47342
t=2025-12-15T13:18:57+0300 lvl=info msg="join connections" obj=join id=601dd2034b54 l=[::1]:80 r=164.90.160.171:58872
t=2025-12-15T13:20:52+0300 lvl=info msg="join connections" obj=join id=4bae8436c8a2 l=[::1]:80 r=164.90.160.171:50712
t=2025-12-15T13:20:58+0300 lvl=info msg="join connections" obj=join id=5f0d2d5223cc l=[::1]:80 r=164.90.160.171:53170
t=2025-12-15T13:20:59+0300 lvl=info msg="join connections" obj=join id=f9eb987eac58 l=[::1]:80 r=164.90.160.171:50714
t=2025-12-15T13:21:22+0300 lvl=info msg="join connections" obj=join id=8f5f926eccbe l=[::1]:80 r=164.90.160.171:57454
t=2025-12-15T13:23:12+0300 lvl=info msg="join connections" obj=join id=6b86281a7b36 l=[::1]:80 r=164.90.160.171:36726
t=2025-12-15T13:23:22+0300 lvl=info msg="join connections" obj=join id=333108b33c73 l=[::1]:80 r=164.90.160.171:52226
t=2025-12-15T13:23:22+0300 lvl=info msg="join connections" obj=join id=4ad909ae6880 l=[::1]:80 r=164.90.160.171:32932
t=2025-12-15T13:26:34+0300 lvl=info msg="join connections" obj=join id=0abba95feaa4 l=[::1]:80 r=164.90.160.171:32804
t=2025-12-15T13:26:46+0300 lvl=info msg="join connections" obj=join id=147890ae1aa3 l=[::1]:80 r=164.90.160.171:59130
t=2025-12-15T13:26:47+0300 lvl=info msg="join connections" obj=join id=8d526babab7a l=[::1]:80 r=164.90.160.171:49308
t=2025-12-15T13:40:40+0300 lvl=info msg="join connections" obj=join id=d1f5d5311b0e l=[::1]:80 r=164.90.160.171:60940
t=2025-12-15T13:40:47+0300 lvl=info msg="join connections" obj=join id=dc9fdd453509 l=[::1]:80 r=164.90.160.171:45932
t=2025-12-15T13:40:48+0300 lvl=info msg="join connections" obj=join id=06200b495e17 l=[::1]:80 r=164.90.160.171:60954
t=2025-12-15T13:43:53+0300 lvl=info msg="join connections" obj=join id=33eab317ee13 l=[::1]:80 r=164.90.160.171:53190
t=2025-12-15T13:44:01+0300 lvl=info msg="join connections" obj=join id=6d32fa33dbdf l=[::1]:80 r=164.90.160.171:57636
t=2025-12-15T13:44:02+0300 lvl=info msg="join connections" obj=join id=ce57f34e3a7e l=[::1]:80 r=164.90.160.171:57646
t=2025-12-15T13:46:24+0300 lvl=info msg="join connections" obj=join id=0f39406da722 l=[::1]:80 r=164.90.160.171:57364
t=2025-12-15T13:46:34+0300 lvl=info msg="join connections" obj=join id=9e4394ad51ed l=[::1]:80 r=164.90.160.171:60762
t=2025-12-15T13:46:35+0300 lvl=info msg="join connections" obj=join id=f1b91d4e7909 l=[::1]:80 r=164.90.160.171:60772
t=2025-12-15T13:50:47+0300 lvl=info msg="join connections" obj=join id=18062d15ae1a l=[::1]:80 r=164.90.160.171:42614
t=2025-12-15T13:51:26+0300 lvl=info msg="join connections" obj=join id=943e4322c0f8 l=[::1]:80 r=164.90.160.171:60554
